"Notes","Five-Year Age Groups","Five-Year Age Groups Code","State","State Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","Delaware","10",34,110962,30.6
,"1-4 years","1-4","District of Columbia","11",31,84210,36.8
,"1-4 years","1-4","Florida","12",725,2304384,31.5
,"1-4 years","1-4","Georgia","13",433,1318089,32.9
,"1-4 years","1-4","Hawaii","15",51,169537,30.1
,"1-4 years","1-4","Idaho","16",68,236813,28.7
,"1-4 years","1-4","Illinois","17",354,1456452,24.3
,"1-4 years","1-4","Indiana","18",271,848765,31.9
,"1-4 years","1-4","Iowa","19",110,390984,28.1
,"1-4 years","1-4","Kansas","20",96,370668,25.9
,"1-4 years","1-4","Kentucky","21",187,550582,34.0
,"1-4 years","1-4","Louisiana","22",260,590918,44.0
,"1-4 years","1-4","Maine","23",35,129853,27.0
,"1-4 years","1-4","Maryland","24",168,729456,23.0
,"1-4 years","1-4","Massachusetts","25",117,715144,16.4
,"1-4 years","1-4","Michigan","26",342,1132618,30.2
,"1-4 years","1-4","Minnesota","27",178,699782,25.4
,"1-4 years","1-4","Mississippi","28",177,363908,48.6
,"1-4 years","1-4","Missouri","29",280,745151,37.6
,"1-4 years","1-4","Montana","30",45,121896,36.9
,"1-4 years","1-4","Nebraska","31",70,261956,26.7
,"1-4 years","1-4","Nevada","32",106,369545,28.7
,"1-4 years","1-4","New Hampshire","33",30,129496,23.2
,"1-4 years","1-4","New Jersey","34",186,1067779,17.4
,"1-4 years","1-4","New Mexico","35",69,236142,29.2
,"1-4 years","1-4","New York","36",453,2224670,20.4
,"1-4 years","1-4","North Carolina","37",394,1233802,31.9
,"1-4 years","1-4","North Dakota","38",35,106572,32.8
,"1-4 years","1-4","Ohio","39",458,1388423,33.0
,"1-4 years","1-4","Oklahoma","40",179,514362,34.8
,"1-4 years","1-4","Oregon","41",88,442748,19.9
,"1-4 years","1-4","Pennsylvania","42",377,1407839,26.8
,"1-4 years","1-4","Rhode Island","44",20,109581,18.3
,"1-4 years","1-4","South Carolina","45",187,593799,31.5
,"1-4 years","1-4","South Dakota","46",51,121681,41.9
,"1-4 years","1-4","Tennessee","47",319,834700,38.2
,"1-4 years","1-4","Texas","48",1171,3990213,29.3
,"1-4 years","1-4","Utah","49",121,490589,24.7
,"1-4 years","1-4","Vermont","50",14,58231,Unreliable
,"1-4 years","1-4","Virginia","51",265,1019279,26.0
,"1-4 years","1-4","Washington","53",193,904233,21.3
,"1-4 years","1-4","West Virginia","54",64,185684,34.5
,"1-4 years","1-4","Wisconsin","55",160,660391,24.2
,"1-4 years","1-4","Wyoming","56",22,67867,32.4
,"5-9 years","5-9","Alabama","01",154,775412,19.9
,"5-9 years","5-9","Alaska","02",31,130000,23.8
,"5-9 years","5-9","Arizona","04",163,1139731,14.3
,"5-9 years","5-9","Arkansas","05",95,496375,19.1
,"5-9 years","5-9","California","06",566,6176433,9.2
,"5-9 years","5-9","Colorado","08",105,865977,12.1
,"5-9 years","5-9","Connecticut","09",42,497545,8.4
,"5-9 years","5-9","Delaware","10",16,145603,Unreliable
,"5-9 years","5-9","District of Columbia","11",15,96836,Unreliable
,"5-9 years","5-9","Florida","12",416,3029447,13.7
,"5-9 years","5-9","Georgia","13",278,1749469,15.9
,"5-9 years","5-9","Hawaii","15",19,224861,Unreliable
,"5-9 years","5-9","Idaho","16",44,323934,13.6
,"5-9 years","5-9","Illinois","17",240,1940374,12.4
,"5-9 years","5-9","Indiana","18",183,1116591,16.4
,"5-9 years","5-9","Iowa","19",81,514537,15.7
,"5-9 years","5-9","Kansas","20",61,494266,12.3
,"5-9 years","5-9","Kentucky","21",113,716439,15.8
,"5-9 years","5-9","Louisiana","22",146,763647,19.1
,"5-9 years","5-9","Maine","23",18,173768,Unreliable
,"5-9 years","5-9","Maryland","24",94,953887,9.9
,"5-9 years","5-9","Massachusetts","25",75,936294,8.0
,"5-9 years","5-9","Michigan","26",227,1501876,15.1
,"5-9 years","5-9","Minnesota","27",105,928829,11.3
,"5-9 years","5-9","Mississippi","28",117,470293,24.9
,"5-9 years","5-9","Missouri","29",152,970477,15.7
,"5-9 years","5-9","Montana","30",30,168195,17.8
,"5-9 years","5-9","Nebraska","31",45,343053,13.1
,"5-9 years","5-9","Nevada","32",70,493126,14.2
,"5-9 years","5-9","New Hampshire","33",27,175560,15.4
,"5-9 years","5-9","New Jersey","34",108,1388908,7.8
,"5-9 years","5-9","New Mexico","35",45,327825,13.7
,"5-9 years","5-9","New York","36",318,2852772,11.1
,"5-9 years","5-9","North Carolina","37",237,1606139,14.8
,"5-9 years","5-9","North Dakota","38",19,133790,Unreliable
,"5-9 years","5-9","Ohio","39",253,1823608,13.9
,"5-9 years","5-9","Oklahoma","40",130,688212,18.9
,"5-9 years","5-9","Oregon","41",69,608295,11.3
,"5-9 years","5-9","Pennsylvania","42",266,1859634,14.3
,"5-9 years","5-9","Rhode Island","44",18,143156,Unreliable
,"5-9 years","5-9","South Carolina","45",140,784969,17.8
,"5-9 years","5-9","South Dakota","46",21,157417,13.3
,"5-9 years","5-9","Tennessee","47",175,1077034,16.2
,"5-9 years","5-9","Texas","48",673,5321776,12.6
,"5-9 years","5-9","Utah","49",78,661642,11.8
,"5-9 years","5-9","Vermont","50",Suppressed,81473,Suppressed
,"5-9 years","5-9","Virginia","51",163,1327238,12.3
,"5-9 years","5-9","Washington","53",112,1198391,9.3
,"5-9 years","5-9","West Virginia","54",35,251986,13.9
,"5-9 years","5-9","Wisconsin","55",124,881108,14.1
,"5-9 years","5-9","Wyoming","56",11,94131,Unreliable
,"10-14 years","10-14","Alabama","01",251,809129,31.0
,"10-14 years","10-14","Alaska","02",42,129185,32.5
,"10-14 years","10-14","Arizona","04",260,1199911,21.7
,"10-14 years","10-14","Arkansas","05",147,514984,28.5
,"10-14 years","10-14","California","06",873,6415559,13.6
,"10-14 years","10-14","Colorado","08",206,920062,22.4
,"10-14 years","10-14","Connecticut","09",60,541198,11.1
,"10-14 years","10-14","Delaware","10",19,150857,Unreliable
,"10-14 years","10-14","District of Columbia","11",24,78290,30.7
,"10-14 years","10-14","Florida","12",598,3137332,19.1
,"10-14 years","10-14","Georgia","13",450,1868573,24.1
,"10-14 years","10-14","Hawaii","15",44,210974,20.9
,"10-14 years","10-14","Idaho","16",81,347217,23.3
,"10-14 years","10-14","Illinois","17",369,2040089,18.1
,"10-14 years","10-14","Indiana","18",255,1154387,22.1
,"10-14 years","10-14","Iowa","19",113,536438,21.1
,"10-14 years","10-14","Kansas","20",121,516922,23.4
,"10-14 years","10-14","Kentucky","21",184,734668,25.0
,"10-14 years","10-14","Louisiana","22",223,776401,28.7
,"10-14 years","10-14","Maine","23",40,185835,21.5
,"10-14 years","10-14","Maryland","24",166,985146,16.9
,"10-14 years","10-14","Massachusetts","25",106,986228,10.7
,"10-14 years","10-14","Michigan","26",304,1564003,19.4
,"10-14 years","10-14","Minnesota","27",156,954837,16.3
,"10-14 years","10-14","Mississippi","28",175,513326,34.1
,"10-14 years","10-14","Missouri","29",254,1007526,25.2
,"10-14 years","10-14","Montana","30",49,173776,28.2
,"10-14 years","10-14","Nebraska","31",71,349037,20.3
,"10-14 years","10-14","Nevada","32",101,513503,19.7
,"10-14 years","10-14","New Hampshire","33",19,190846,Unreliable
,"10-14 years","10-14","New Jersey","34",173,1447468,12.0
,"10-14 years","10-14","New Mexico","35",92,352419,26.1
,"10-14 years","10-14","New York","36",411,2872356,14.3
,"10-14 years","10-14","North Carolina","37",362,1700894,21.3
,"10-14 years","10-14","North Dakota","38",34,128087,26.5
,"10-14 years","10-14","Ohio","39",456,1881251,24.2
,"10-14 years","10-14","Oklahoma","40",204,702465,29.0
,"10-14 years","10-14","Oregon","41",97,637406,15.2
,"10-14 years","10-14","Pennsylvania","42",371,1939533,19.1
,"10-14 years","10-14","Rhode Island","44",20,148589,13.5
,"10-14 years","10-14","South Carolina","45",210,831376,25.3
,"10-14 years","10-14","South Dakota","46",39,159482,24.5
,"10-14 years","10-14","Tennessee","47",250,1118747,22.3
,"10-14 years","10-14","Texas","48",1061,5471724,19.4
,"10-14 years","10-14","Utah","49",132,702228,18.8
,"10-14 years","10-14","Vermont","50",14,87120,Unreliable
,"10-14 years","10-14","Virginia","51",230,1364947,16.9
,"10-14 years","10-14","Washington","53",222,1212565,18.3
,"10-14 years","10-14","West Virginia","54",63,265525,23.7
,"10-14 years","10-14","Wisconsin","55",180,940219,19.1
,"10-14 years","10-14","Wyoming","56",37,100583,36.8
,"15-19 years","15-19","Alabama","01",967,825021,117.2
,"15-19 years","15-19","Alaska","02",152,119471,127.2
,"15-19 years","15-19","Arizona","04",1290,1243886,103.7
,"15-19 years","15-19","Arkansas","05",605,516786,117.1
,"15-19 years","15-19","California","06",4148,6534173,63.5
,"15-19 years","15-19","Colorado","08",947,958055,98.8
,"15-19 years","15-19","Connecticut","09",317,608453,52.1
,"15-19 years","15-19","Delaware","10",134,156203,85.8
,"15-19 years","15-19","District of Columbia","11",135,86403,156.2
,"15-19 years","15-19","Florida","12",2558,3183328,80.4
,"15-19 years","15-19","Georgia","13",1780,1906021,93.4
,"15-19 years","15-19","Hawaii","15",104,200502,51.9
,"15-19 years","15-19","Idaho","16",267,344558,77.5
,"15-19 years","15-19","Illinois","17",1839,2112703,87.0
,"15-19 years","15-19","Indiana","18",1181,1189737,99.3
,"15-19 years","15-19","Iowa","19",370,561994,65.8
,"15-19 years","15-19","Kansas","20",524,529582,98.9
,"15-19 years","15-19","Kentucky","21",698,741546,94.1
,"15-19 years","15-19","Louisiana","22",1097,760144,144.3
,"15-19 years","15-19","Maine","23",130,203196,64.0
,"15-19 years","15-19","Maryland","24",776,985932,78.7
,"15-19 years","15-19","Massachusetts","25",464,1131183,41.0
,"15-19 years","15-19","Michigan","26",1130,1644783,68.7
,"15-19 years","15-19","Minnesota","27",599,946834,63.3
,"15-19 years","15-19","Mississippi","28",755,522404,144.5
,"15-19 years","15-19","Missouri","29",1156,1020566,113.3
,"15-19 years","15-19","Montana","30",214,174592,122.6
,"15-19 years","15-19","Nebraska","31",258,349978,73.7
,"15-19 years","15-19","Nevada","32",416,486034,85.6
,"15-19 years","15-19","New Hampshire","33",106,211395,50.1
,"15-19 years","15-19","New Jersey","34",685,1459793,46.9
,"15-19 years","15-19","New Mexico","35",469,361846,129.6
,"15-19 years","15-19","New York","36",1401,3019782,46.4
,"15-19 years","15-19","North Carolina","37",1716,1786457,96.1
,"15-19 years","15-19","North Dakota","38",108,132885,81.3
,"15-19 years","15-19","Ohio","39",1540,1938598,79.4
,"15-19 years","15-19","Oklahoma","40",669,701782,95.3
,"15-19 years","15-19","Oregon","41",492,640401,76.8
,"15-19 years","15-19","Pennsylvania","42",1482,2083582,71.1
,"15-19 years","15-19","Rhode Island","44",64,178777,35.8
,"15-19 years","15-19","South Carolina","45",961,858757,111.9
,"15-19 years","15-19","South Dakota","46",147,156206,94.1
,"15-19 years","15-19","Tennessee","47",1279,1114975,114.7
,"15-19 years","15-19","Texas","48",4775,5427855,88.0
,"15-19 years","15-19","Utah","49",498,682205,73.0
,"15-19 years","15-19","Vermont","50",61,107402,56.8
,"15-19 years","15-19","Virginia","51",1118,1409477,79.3
,"15-19 years","15-19","Washington","53",859,1169071,73.5
,"15-19 years","15-19","West Virginia","54",211,278455,75.8
,"15-19 years","15-19","Wisconsin","55",701,978807,71.6
,"15-19 years","15-19","Wyoming","56",113,99282,113.8
,"20-24 years","20-24","Alabama","01",1673,836115,200.1
,"20-24 years","20-24","Alaska","02",313,145885,214.6
,"20-24 years","20-24","Arizona","04",2337,1300723,179.7
,"20-24 years","20-24","Arkansas","05",949,518445,183.0
,"20-24 years","20-24","California","06",8581,6654663,128.9
,"20-24 years","20-24","Colorado","08",1572,1005558,156.3
,"20-24 years","20-24","Connecticut","09",642,612524,104.8
,"20-24 years","20-24","Delaware","10",249,148943,167.2
,"20-24 years","20-24","District of Columbia","11",237,108238,219.0
,"20-24 years","20-24","Florida","12",5036,3265405,154.2
,"20-24 years","20-24","Georgia","13",3240,1875111,172.8
,"20-24 years","20-24","Hawaii","15",213,242227,87.9
,"20-24 years","20-24","Idaho","16",471,326755,144.1
,"20-24 years","20-24","Illinois","17",3053,2097081,145.6
,"20-24 years","20-24","Indiana","18",1983,1222894,162.2
,"20-24 years","20-24","Iowa","19",610,585820,104.1
,"20-24 years","20-24","Kansas","20",786,563176,139.6
,"20-24 years","20-24","Kentucky","21",1319,773943,170.4
,"20-24 years","20-24","Louisiana","22",1813,770245,235.4
,"20-24 years","20-24","Maine","23",273,194696,140.2
,"20-24 years","20-24","Maryland","24",1632,941463,173.3
,"20-24 years","20-24","Massachusetts","25",1037,1197710,86.6
,"20-24 years","20-24","Michigan","26",2216,1729101,128.2
,"20-24 years","20-24","Minnesota","27",1092,907698,120.3
,"20-24 years","20-24","Mississippi","28",1204,512362,235.0
,"20-24 years","20-24","Missouri","29",1948,1036885,187.9
,"20-24 years","20-24","Montana","30",293,196305,149.3
,"20-24 years","20-24","Nebraska","31",398,353219,112.7
,"20-24 years","20-24","Nevada","32",785,478240,164.1
,"20-24 years","20-24","New Hampshire","33",223,222402,100.3
,"20-24 years","20-24","New Jersey","34",1449,1402038,103.3
,"20-24 years","20-24","New Mexico","35",832,371392,224.0
,"20-24 years","20-24","New York","36",3239,3150185,102.8
,"20-24 years","20-24","North Carolina","37",3200,1845362,173.4
,"20-24 years","20-24","North Dakota","38",205,165915,123.6
,"20-24 years","20-24","Ohio","39",2955,1917597,154.1
,"20-24 years","20-24","Oklahoma","40",1079,733142,147.2
,"20-24 years","20-24","Oregon","41",946,670250,141.1
,"20-24 years","20-24","Pennsylvania","42",2906,2043527,142.2
,"20-24 years","20-24","Rhode Island","44",171,189709,90.1
,"20-24 years","20-24","South Carolina","45",1796,867618,207.0
,"20-24 years","20-24","South Dakota","46",238,157227,151.4
,"20-24 years","20-24","Tennessee","47",2453,1150210,213.3
,"20-24 years","20-24","Texas","48",7869,5317484,148.0
,"20-24 years","20-24","Utah","49",753,719684,104.6
,"20-24 years","20-24","Vermont","50",112,115078,97.3
,"20-24 years","20-24","Virginia","51",2083,1493430,139.5
,"20-24 years","20-24","Washington","53",1633,1266368,129.0
,"20-24 years","20-24","West Virginia","54",491,289006,169.9
,"20-24 years","20-24","Wisconsin","55",1225,1008869,121.4
,"20-24 years","20-24","Wyoming","56",169,101712,166.2
,"25-29 years","25-29","Alabama","01",2214,816277,271.2
,"25-29 years","25-29","Alaska","02",336,153498,218.9
,"25-29 years","25-29","Arizona","04",3204,1336553,239.7
,"25-29 years","25-29","Arkansas","05",1090,501901,217.2
,"25-29 years","25-29","California","06",12276,7405885,165.8
,"25-29 years","25-29","Colorado","08",2238,1181003,189.5
,"25-29 years","25-29","Connecticut","09",965,577559,167.1
,"25-29 years","25-29","Delaware","10",384,156444,245.5
,"25-29 years","25-29","District of Columbia","11",329,169841,193.7
,"25-29 years","25-29","Florida","12",7193,3485688,206.4
,"25-29 years","25-29","Georgia","13",3862,1879141,205.5
,"25-29 years","25-29","Hawaii","15",283,250398,113.0
,"25-29 years","25-29","Idaho","16",504,321434,156.8
,"25-29 years","25-29","Illinois","17",4265,2173538,196.2
,"25-29 years","25-29","Indiana","18",2662,1153930,230.7
,"25-29 years","25-29","Iowa","19",747,524785,142.3
,"25-29 years","25-29","Kansas","20",925,499269,185.3
,"25-29 years","25-29","Kentucky","21",1747,769890,226.9
,"25-29 years","25-29","Louisiana","22",2249,776516,289.6
,"25-29 years","25-29","Maine","23",388,204094,190.1
,"25-29 years","25-29","Maryland","24",2264,988382,229.1
,"25-29 years","25-29","Massachusetts","25",1676,1238361,135.3
,"25-29 years","25-29","Michigan","26",3200,1710843,187.0
,"25-29 years","25-29","Minnesota","27",1494,944188,158.2
,"25-29 years","25-29","Mississippi","28",1405,484269,290.1
,"25-29 years","25-29","Missouri","29",2562,1034855,247.6
,"25-29 years","25-29","Montana","30",352,187347,187.9
,"25-29 years","25-29","Nebraska","31",464,329207,140.9
,"25-29 years","25-29","Nevada","32",1070,570002,187.7
,"25-29 years","25-29","New Hampshire","33",393,227070,173.1
,"25-29 years","25-29","New Jersey","34",2401,1464515,163.9
,"25-29 years","25-29","New Mexico","35",1238,363963,340.1
,"25-29 years","25-29","New York","36",4850,3464638,140.0
,"25-29 years","25-29","North Carolina","37",4312,1800843,239.4
,"25-29 years","25-29","North Dakota","38",273,150497,181.4
,"25-29 years","25-29","Ohio","39",4371,1968586,222.0
,"25-29 years","25-29","Oklahoma","40",1418,698886,202.9
,"25-29 years","25-29","Oregon","41",1217,743134,163.8
,"25-29 years","25-29","Pennsylvania","42",4314,2107489,204.7
,"25-29 years","25-29","Rhode Island","44",257,188178,136.6
,"25-29 years","25-29","South Carolina","45",2261,841379,268.7
,"25-29 years","25-29","South Dakota","46",296,150131,197.2
,"25-29 years","25-29","Tennessee","47",3163,1220912,259.1
,"25-29 years","25-29","Texas","48",9380,5485710,171.0
,"25-29 years","25-29","Utah","49",854,662548,128.9
,"25-29 years","25-29","Vermont","50",171,97013,176.3
,"25-29 years","25-29","Virginia","51",2525,1496060,168.8
,"25-29 years","25-29","Washington","53",2338,1495427,156.3
,"25-29 years","25-29","West Virginia","54",805,279406,288.1
,"25-29 years","25-29","Wisconsin","55",1644,962014,170.9
,"25-29 years","25-29","Wyoming","56",198,93897,210.9
,"30-34 years","30-34","Alabama","01",2717,803061,338.3
,"30-34 years","30-34","Alaska","02",469,152465,307.6
,"30-34 years","30-34","Arizona","04",3899,1298744,300.2
,"30-34 years","30-34","Arkansas","05",1412,496488,284.4
,"30-34 years","30-34","California","06",15171,7692514,197.2
,"30-34 years","30-34","Colorado","08",2751,1218578,225.8
,"30-34 years","30-34","Connecticut","09",1317,571252,230.5
,"30-34 years","30-34","Delaware","10",508,164368,309.1
,"30-34 years","30-34","District of Columbia","11",396,188791,209.8
,"30-34 years","30-34","Florida","12",9390,3638317,258.1
,"30-34 years","30-34","Georgia","13",4775,1851341,257.9
,"30-34 years","30-34","Hawaii","15",415,253182,163.9
,"30-34 years","30-34","Idaho","16",608,310617,195.7
,"30-34 years","30-34","Illinois","17",4950,2174963,227.6
,"30-34 years","30-34","Indiana","18",3184,1113768,285.9
,"30-34 years","30-34","Iowa","19",925,502539,184.1
,"30-34 years","30-34","Kansas","20",1147,479425,239.2
,"30-34 years","30-34","Kentucky","21",2436,738044,330.1
,"30-34 years","30-34","Louisiana","22",2817,790555,356.3
,"30-34 years","30-34","Maine","23",584,214595,272.1
,"30-34 years","30-34","Maryland","24",2877,1046080,275.0
,"30-34 years","30-34","Massachusetts","25",2363,1238486,190.8
,"30-34 years","30-34","Michigan","26",4184,1646404,254.1
,"30-34 years","30-34","Minnesota","27",1824,977121,186.7
,"30-34 years","30-34","Mississippi","28",1687,465520,362.4
,"30-34 years","30-34","Missouri","29",3037,1021588,297.3
,"30-34 years","30-34","Montana","30",491,182975,268.3
,"30-34 years","30-34","Nebraska","31",584,322842,180.9
,"30-34 years","30-34","Nevada","32",1389,599635,231.6
,"30-34 years","30-34","New Hampshire","33",518,232127,223.2
,"30-34 years","30-34","New Jersey","34",3152,1514616,208.1
,"30-34 years","30-34","New Mexico","35",1715,362781,472.7
,"30-34 years","30-34","New York","36",6487,3544699,183.0
,"30-34 years","30-34","North Carolina","37",5150,1768064,291.3
,"30-34 years","30-34","North Dakota","38",359,148110,242.4
,"30-34 years","30-34","Ohio","39",5632,1958497,287.6
,"30-34 years","30-34","Oklahoma","40",1955,683262,286.1
,"30-34 years","30-34","Oregon","41",1671,782111,213.7
,"30-34 years","30-34","Pennsylvania","42",5550,2204083,251.8
,"30-34 years","30-34","Rhode Island","44",393,195691,200.8
,"30-34 years","30-34","South Carolina","45",2742,842438,325.5
,"30-34 years","30-34","South Dakota","46",374,149184,250.7
,"30-34 years","30-34","Tennessee","47",4136,1191190,347.2
,"30-34 years","30-34","Texas","48",11337,5512994,205.6
,"30-34 years","30-34","Utah","49",1030,594165,173.4
,"30-34 years","30-34","Vermont","50",273,97873,278.9
,"30-34 years","30-34","Virginia","51",3218,1500886,214.4
,"30-34 years","30-34","Washington","53",2893,1574695,183.7
,"30-34 years","30-34","West Virginia","54",1121,272517,411.4
,"30-34 years","30-34","Wisconsin","55",2133,934593,228.2
,"30-34 years","30-34","Wyoming","56",264,99442,265.5
,"35-39 years","35-39","Alabama","01",3232,750277,430.8
,"35-39 years","35-39","Alaska","02",545,143558,379.6
,"35-39 years","35-39","Arizona","04",4358,1213483,359.1
,"35-39 years","35-39","Arkansas","05",1741,479336,363.2
,"35-39 years","35-39","California","06",16698,7169613,232.9
,"35-39 years","35-39","Colorado","08",3025,1144519,264.3
,"35-39 years","35-39","Connecticut","09",1581,569237,277.7
,"35-39 years","35-39","Delaware","10",549,153760,357.0
,"35-39 years","35-39","District of Columbia","11",390,154807,251.9
,"35-39 years","35-39","Florida","12",10777,3495676,308.3
,"35-39 years","35-39","Georgia","13",5379,1757348,306.1
,"35-39 years","35-39","Hawaii","15",536,248697,215.5
,"35-39 years","35-39","Idaho","16",705,313649,224.8
,"35-39 years","35-39","Illinois","17",5580,2130721,261.9
,"35-39 years","35-39","Indiana","18",3522,1076869,327.1
,"35-39 years","35-39","Iowa","19",1128,516379,218.4
,"35-39 years","35-39","Kansas","20",1274,484538,262.9
,"35-39 years","35-39","Kentucky","21",2989,698516,427.9
,"35-39 years","35-39","Louisiana","22",3446,768290,448.5
,"35-39 years","35-39","Maine","23",753,208569,361.0
,"35-39 years","35-39","Maryland","24",3157,1031696,306.0
,"35-39 years","35-39","Massachusetts","25",2740,1151691,237.9
,"35-39 years","35-39","Michigan","26",4604,1526023,301.7
,"35-39 years","35-39","Minnesota","27",2099,1000406,209.8
,"35-39 years","35-39","Mississippi","28",2009,446608,449.8
,"35-39 years","35-39","Missouri","29",3468,999321,347.0
,"35-39 years","35-39","Montana","30",539,183125,294.3
,"35-39 years","35-39","Nebraska","31",691,334387,206.6
,"35-39 years","35-39","Nevada","32",1613,569157,283.4
,"35-39 years","35-39","New Hampshire","33",604,219990,274.6
,"35-39 years","35-39","New Jersey","34",3636,1512949,240.3
,"35-39 years","35-39","New Mexico","35",1941,353674,548.8
,"35-39 years","35-39","New York","36",7649,3238409,236.2
,"35-39 years","35-39","North Carolina","37",5515,1658834,332.5
,"35-39 years","35-39","North Dakota","38",391,140113,279.1
,"35-39 years","35-39","Ohio","39",6319,1841888,343.1
,"35-39 years","35-39","Oklahoma","40",2336,673784,346.7
,"35-39 years","35-39","Oregon","41",1847,761726,242.5
,"35-39 years","35-39","Pennsylvania","42",6198,2072166,299.1
,"35-39 years","35-39","Rhode Island","44",415,177029,234.4
,"35-39 years","35-39","South Carolina","45",3072,797434,385.2
,"35-39 years","35-39","South Dakota","46",462,151099,305.8
,"35-39 years","35-39","Tennessee","47",4700,1102701,426.2
,"35-39 years","35-39","Texas","48",13378,5383193,248.5
,"35-39 years","35-39","Utah","49",1354,582493,232.4
,"35-39 years","35-39","Vermont","50",281,97064,289.5
,"35-39 years","35-39","Virginia","51",3751,1482513,253.0
,"35-39 years","35-39","Washington","53",3251,1471145,221.0
,"35-39 years","35-39","West Virginia","54",1414,262578,538.5
,"35-39 years","35-39","Wisconsin","55",2499,949218,263.3
,"35-39 years","35-39","Wyoming","56",335,102486,326.9
,"40-44 years","40-44","Alabama","01",4089,735618,555.9
,"40-44 years","40-44","Alaska","02",490,122471,400.1
,"40-44 years","40-44","Arizona","04",4637,1133636,409.0
,"40-44 years","40-44","Arkansas","05",2240,465282,481.4
,"40-44 years","40-44","California","06",18941,6528526,290.1
,"40-44 years","40-44","Colorado","08",3164,1017996,310.8
,"40-44 years","40-44","Connecticut","09",1703,537489,316.8
,"40-44 years","40-44","Delaware","10",579,141323,409.7
,"40-44 years","40-44","District of Columbia","11",431,118766,362.9
,"40-44 years","40-44","Florida","12",12320,3331026,369.9
,"40-44 years","40-44","Georgia","13",6524,1697781,384.3
,"40-44 years","40-44","Hawaii","15",670,229090,292.5
,"40-44 years","40-44","Idaho","16",837,306312,273.3
,"40-44 years","40-44","Illinois","17",6540,2042366,320.2
,"40-44 years","40-44","Indiana","18",4154,1054912,393.8
,"40-44 years","40-44","Iowa","19",1410,501801,281.0
,"40-44 years","40-44","Kansas","20",1569,459810,341.2
,"40-44 years","40-44","Kentucky","21",3734,700442,533.1
,"40-44 years","40-44","Louisiana","22",4016,714833,561.8
,"40-44 years","40-44","Maine","23",840,198090,424.0
,"40-44 years","40-44","Maryland","24",3386,970808,348.8
