"Notes","Five-Year Age Groups","Five-Year Age Groups Code","HHS Region","HHS Region Code",Deaths,Population,Crude Rate
,"30-34 years","30-34","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",5269,2392454,220.2
,"30-34 years","30-34","HHS Region #9  AZ, CA, HI, NV","HHS9",20874,9844075,212.0
,"30-34 years","30-34","HHS Region #10  AK, ID, OR, WA","HHS10",5641,2819888,200.0
"Total","30-34 years","30-34",,,140410,58318276,240.8
,"35-39 years","35-39","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",6374,2423580,263.0
,"35-39 years","35-39","HHS Region #2  NJ, NY","HHS2",11285,4751358,237.5
,"35-39 years","35-39","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",15459,5157520,299.7
,"35-39 years","35-39","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",37673,10707394,351.8
,"35-39 years","35-39","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",24623,8525125,288.8
,"35-39 years","35-39","HHS Region #6  AR, LA, NM, OK, TX","HHS6",22842,7658277,298.3
,"35-39 years","35-39","HHS Region #7  IA, KS, MO, NE","HHS7",6561,2334625,281.0
,"35-39 years","35-39","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",6106,2303835,265.0
,"35-39 years","35-39","HHS Region #9  AZ, CA, HI, NV","HHS9",23205,9200950,252.2
,"35-39 years","35-39","HHS Region #10  AK, ID, OR, WA","HHS10",6348,2690078,236.0
"Total","35-39 years","35-39",,,160476,55752742,287.8
,"40-44 years","40-44","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",7045,2236141,315.1
,"40-44 years","40-44","HHS Region #2  NJ, NY","HHS2",13202,4440402,297.3
,"40-44 years","40-44","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",17070,4815804,354.5
,"40-44 years","40-44","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",45234,10356356,436.8
,"40-44 years","40-44","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",28673,8181450,350.5
,"40-44 years","40-44","HHS Region #6  AR, LA, NM, OK, TX","HHS6",27214,7160430,380.1
,"40-44 years","40-44","HHS Region #7  IA, KS, MO, NE","HHS7",7851,2218840,353.8
,"40-44 years","40-44","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",6577,2134375,308.1
,"40-44 years","40-44","HHS Region #9  AZ, CA, HI, NV","HHS9",26157,8417896,310.7
,"40-44 years","40-44","HHS Region #10  AK, ID, OR, WA","HHS10",7320,2463550,297.1
"Total","40-44 years","40-44",,,186343,52425244,355.4
,"45-49 years","45-49","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",8282,2174339,380.9
,"45-49 years","45-49","HHS Region #2  NJ, NY","HHS2",16450,4271613,385.1
,"45-49 years","45-49","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",21017,4578420,459.0
,"45-49 years","45-49","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",56563,10192288,555.0
,"45-49 years","45-49","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",36482,7761944,470.0
,"45-49 years","45-49","HHS Region #6  AR, LA, NM, OK, TX","HHS6",34017,6593032,516.0
,"45-49 years","45-49","HHS Region #7  IA, KS, MO, NE","HHS7",9565,2018629,473.8
,"45-49 years","45-49","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",7506,1875863,400.1
,"45-49 years","45-49","HHS Region #9  AZ, CA, HI, NV","HHS9",32165,7881906,408.1
,"45-49 years","45-49","HHS Region #10  AK, ID, OR, WA","HHS10",8608,2217326,388.2
"Total","45-49 years","45-49",,,230655,49565360,465.4
,"50-54 years","50-54","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",13637,2437965,559.4
,"50-54 years","50-54","HHS Region #2  NJ, NY","HHS2",26314,4603348,571.6
,"50-54 years","50-54","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",32346,4909309,658.9
,"50-54 years","50-54","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",83502,10675462,782.2
,"50-54 years","50-54","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",55110,8224619,670.1
,"50-54 years","50-54","HHS Region #6  AR, LA, NM, OK, TX","HHS6",48137,6412071,750.7
,"50-54 years","50-54","HHS Region #7  IA, KS, MO, NE","HHS7",14314,2073031,690.5
,"50-54 years","50-54","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",10107,1778067,568.4
,"50-54 years","50-54","HHS Region #9  AZ, CA, HI, NV","HHS9",47087,7982950,589.8
,"50-54 years","50-54","HHS Region #10  AK, ID, OR, WA","HHS10",12983,2213174,586.6
"Total","50-54 years","50-54",,,343537,51309996,669.5
,"55-59 years","55-59","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",21419,2625182,815.9
,"55-59 years","55-59","HHS Region #2  NJ, NY","HHS2",40580,4789823,847.2
,"55-59 years","55-59","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",51432,5125694,1003.4
,"55-59 years","55-59","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",127871,10892983,1173.9
,"55-59 years","55-59","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",86489,8611183,1004.4
,"55-59 years","55-59","HHS Region #6  AR, LA, NM, OK, TX","HHS6",72380,6282219,1152.1
,"55-59 years","55-59","HHS Region #7  IA, KS, MO, NE","HHS7",23580,2217914,1063.2
,"55-59 years","55-59","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",15002,1757468,853.6
,"55-59 years","55-59","HHS Region #9  AZ, CA, HI, NV","HHS9",70272,7831512,897.3
,"55-59 years","55-59","HHS Region #10  AK, ID, OR, WA","HHS10",19333,2190812,882.5
"Total","55-59 years","55-59",,,528358,52324790,1009.8
,"60-64 years ","60-64","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",29721,2561716,1160.2
,"60-64 years ","60-64","HHS Region #2  NJ, NY","HHS2",55624,4564980,1218.5
,"60-64 years ","60-64","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",72710,5001715,1453.7
,"60-64 years ","60-64","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",179287,10466549,1713.0
,"60-64 years ","60-64","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",126836,8587131,1477.0
,"60-64 years ","60-64","HHS Region #6  AR, LA, NM, OK, TX","HHS6",101538,5984548,1696.7
,"60-64 years ","60-64","HHS Region #7  IA, KS, MO, NE","HHS7",34866,2259694,1543.0
,"60-64 years ","60-64","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",21746,1790904,1214.2
,"60-64 years ","60-64","HHS Region #9  AZ, CA, HI, NV","HHS9",96514,7383296,1307.2
,"60-64 years ","60-64","HHS Region #10  AK, ID, OR, WA","HHS10",28735,2202396,1304.7
"Total","60-64 years ","60-64",,,747577,50802929,1471.5
,"65-69 years","65-69","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",35161,2151331,1634.4
,"65-69 years","65-69","HHS Region #2  NJ, NY","HHS2",65136,3755880,1734.2
,"65-69 years","65-69","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",86492,4263394,2028.7
,"65-69 years","65-69","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",208679,9111414,2290.3
,"65-69 years","65-69","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",151292,7331577,2063.6
,"65-69 years","65-69","HHS Region #6  AR, LA, NM, OK, TX","HHS6",116873,4981846,2346.0
,"65-69 years","65-69","HHS Region #7  IA, KS, MO, NE","HHS7",41544,1945103,2135.8
,"65-69 years","65-69","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",26553,1580046,1680.5
,"65-69 years","65-69","HHS Region #9  AZ, CA, HI, NV","HHS9",113556,6223067,1824.8
,"65-69 years","65-69","HHS Region #10  AK, ID, OR, WA","HHS10",35724,1993840,1791.7
"Total","65-69 years","65-69",,,881010,43337498,2032.9
,"70-74 years","70-74","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",41249,1693722,2435.4
,"70-74 years","70-74","HHS Region #2  NJ, NY","HHS2",73684,2936504,2509.2
,"70-74 years","70-74","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",98413,3395108,2898.7
,"70-74 years","70-74","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",239121,7655789,3123.4
,"70-74 years","70-74","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",168661,5689658,2964.3
,"70-74 years","70-74","HHS Region #6  AR, LA, NM, OK, TX","HHS6",127781,3892289,3282.9
,"70-74 years","70-74","HHS Region #7  IA, KS, MO, NE","HHS7",46951,1518498,3091.9
,"70-74 years","70-74","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",30339,1237751,2451.1
,"70-74 years","70-74","HHS Region #9  AZ, CA, HI, NV","HHS9",128672,5019631,2563.4
,"70-74 years","70-74","HHS Region #10  AK, ID, OR, WA","HHS10",41608,1621509,2566.0
"Total","70-74 years","70-74",,,996479,34660459,2875.0
,"75-79 years","75-79","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",45385,1138733,3985.6
,"75-79 years","75-79","HHS Region #2  NJ, NY","HHS2",78727,1978987,3978.1
,"75-79 years","75-79","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",103572,2271402,4559.8
,"75-79 years","75-79","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",249005,5362645,4643.3
,"75-79 years","75-79","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",173613,3709188,4680.6
,"75-79 years","75-79","HHS Region #6  AR, LA, NM, OK, TX","HHS6",128665,2580368,4986.3
,"75-79 years","75-79","HHS Region #7  IA, KS, MO, NE","HHS7",48808,1005539,4853.9
,"75-79 years","75-79","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",31787,786403,4042.1
,"75-79 years","75-79","HHS Region #9  AZ, CA, HI, NV","HHS9",134830,3441601,3917.7
,"75-79 years","75-79","HHS Region #10  AK, ID, OR, WA","HHS10",44183,1065436,4146.9
"Total","75-79 years","75-79",,,1038575,23340302,4449.7
,"80-84 years","80-84","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",46082,662089,6960.1
,"80-84 years","80-84","HHS Region #2  NJ, NY","HHS2",80661,1217833,6623.3
,"80-84 years","80-84","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",102227,1357552,7530.2
,"80-84 years","80-84","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",235218,3192295,7368.3
,"80-84 years","80-84","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",173807,2234267,7779.2
,"80-84 years","80-84","HHS Region #6  AR, LA, NM, OK, TX","HHS6",120292,1510044,7966.1
,"80-84 years","80-84","HHS Region #7  IA, KS, MO, NE","HHS7",49228,616564,7984.2
,"80-84 years","80-84","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",32313,454660,7107.1
,"80-84 years","80-84","HHS Region #9  AZ, CA, HI, NV","HHS9",134462,2100514,6401.4
,"80-84 years","80-84","HHS Region #10  AK, ID, OR, WA","HHS10",42705,601236,7102.9
"Total","80-84 years","80-84",,,1016995,13947054,7291.8
,"85-89 years","85-89","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",46590,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #2  NJ, NY","HHS2",78466,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",93693,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",197979,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",160499,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #6  AR, LA, NM, OK, TX","HHS6",101677,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #7  IA, KS, MO, NE","HHS7",45424,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",30576,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #9  AZ, CA, HI, NV","HHS9",126203,Not Applicable,Not Applicable
,"85-89 years","85-89","HHS Region #10  AK, ID, OR, WA","HHS10",38495,Not Applicable,Not Applicable
"Total","85-89 years","85-89",,,919602,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",35590,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #2  NJ, NY","HHS2",59397,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",66752,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",126359,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",114015,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #6  AR, LA, NM, OK, TX","HHS6",64181,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #7  IA, KS, MO, NE","HHS7",32132,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",21857,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #9  AZ, CA, HI, NV","HHS9",91737,Not Applicable,Not Applicable
,"90-94 years","90-94","HHS Region #10  AK, ID, OR, WA","HHS10",26998,Not Applicable,Not Applicable
"Total","90-94 years","90-94",,,639018,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",13918,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #2  NJ, NY","HHS2",23067,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",23778,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",42766,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",41166,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #6  AR, LA, NM, OK, TX","HHS6",21454,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #7  IA, KS, MO, NE","HHS7",11582,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",7572,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #9  AZ, CA, HI, NV","HHS9",36994,Not Applicable,Not Applicable
,"95-99 years","95-99","HHS Region #10  AK, ID, OR, WA","HHS10",10428,Not Applicable,Not Applicable
"Total","95-99 years","95-99",,,232725,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",2066,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #2  NJ, NY","HHS2",3676,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",3412,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",6116,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",5613,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #6  AR, LA, NM, OK, TX","HHS6",3010,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #7  IA, KS, MO, NE","HHS7",1611,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",1101,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #9  AZ, CA, HI, NV","HHS9",6413,Not Applicable,Not Applicable
,"100+ years","100+","HHS Region #10  AK, ID, OR, WA","HHS10",1582,Not Applicable,Not Applicable
"Total","100+ years","100+",,,34600,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #1  CT, ME, MA, NH, RI, VT","HHS1",14,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #2  NJ, NY","HHS2",50,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #3  DE, DC, MD, PA, VA, WV","HHS3",81,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN","HHS4",60,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #5  IL, IN, MI, MN, OH, WI","HHS5",37,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #6  AR, LA, NM, OK, TX","HHS6",33,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #7  IA, KS, MO, NE","HHS7",Suppressed,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #8  CO, MT, ND, SD, UT, WY","HHS8",Suppressed,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #9  AZ, CA, HI, NV","HHS9",101,Not Applicable,Not Applicable
,"Not Stated","NS","HHS Region #10  AK, ID, OR, WA","HHS10",Suppressed,Not Applicable,Not Applicable
"Total","Not Stated","NS",,,394,Not Applicable,Not Applicable
"Total",,,,,8418150,819331221,1027.4
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Sex: Male"
"Year/Month: 2019; 2020; 2021; 2022; 2023"
"Group By: Five-Year Age Groups; HHS Region"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Oct 21, 2025 2:56:39 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Oct 21, 2025 2:56:39 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023"
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1"
